sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
34,0,87.0,Others,65.0,Others,Science,81.0,Commerce & Management,1,88.0,1,72.78,1,260000.0
35,1,62.0,Others,51.0,Others,Science,52.0,Others,0,68.44,0,62.77,0,0.0
36,0,69.0,Central,78.0,Central,Commerce,72.0,Commerce & Management,0,71.0,0,62.74,1,300000.0
37,1,51.0,Central,44.0,Central,Commerce,57.0,Commerce & Management,0,64.0,1,51.45,0,0.0
38,0,79.0,Central,76.0,Central,Science,65.6,Science & Tech,0,58.0,0,55.47,1,320000.0
39,0,73.0,Others,58.0,Others,Science,66.0,Commerce & Management,0,53.7,0,56.86,1,240000.0
40,1,81.0,Others,68.0,Others,Science,64.0,Science & Tech,0,93.0,1,62.56,1,411000.0
41,0,78.0,Central,77.0,Others,Commerce,80.0,Commerce & Management,0,60.0,1,66.72,1,287000.0
42,0,74.0,Others,63.16,Others,Commerce,65.0,Commerce & Management,1,65.0,0,69.76,0,0.0
43,1,49.0,Others,39.0,Central,Science,65.0,Others,0,63.0,1,51.21,0,0.0
44,1,87.0,Others,87.0,Others,Commerce,68.0,Commerce & Management,0,95.0,0,62.9,1,300000.0
45,0,77.0,Others,73.0,Others,Commerce,81.0,Commerce & Management,1,89.0,1,69.7,1,200000.0
46,0,76.0,Central,64.0,Central,Science,72.0,Science & Tech,0,58.0,0,66.53,0,0.0
47,0,70.89,Others,71.98,Others,Science,65.6,Commerce & Management,0,68.0,0,71.63,0,0.0
48,1,63.0,Central,60.0,Central,Commerce,57.0,Commerce & Management,1,78.0,1,54.55,1,204000.0
49,1,63.0,Others,62.0,Others,Commerce,68.0,Commerce & Management,0,64.0,1,62.46,1,250000.0
50,0,50.0,Others,37.0,Others,Arts,52.0,Others,0,65.0,0,56.11,0,0.0
51,0,75.2,Central,73.2,Central,Science,68.4,Commerce & Management,0,65.0,0,62.98,1,200000.0
52,1,54.4,Central,61.12,Central,Commerce,56.2,Commerce & Management,0,67.0,0,62.65,0,0.0
53,0,40.89,Others,45.83,Others,Commerce,53.0,Commerce & Management,0,71.2,0,65.49,0,0.0
54,1,80.0,Others,70.0,Others,Science,72.0,Science & Tech,0,87.0,0,71.04,1,450000.0
55,0,74.0,Central,60.0,Others,Science,69.0,Commerce & Management,0,78.0,0,65.56,1,216000.0
56,1,60.4,Central,66.6,Others,Science,65.0,Commerce & Management,0,71.0,0,52.71,1,220000.0
57,1,63.0,Others,71.4,Others,Commerce,61.4,Commerce & Management,0,68.0,1,66.88,1,240000.0
58,1,68.0,Central,76.0,Central,Commerce,74.0,Commerce & Management,0,80.0,1,63.59,1,360000.0
59,1,74.0,Central,62.0,Others,Science,68.0,Commerce & Management,0,74.0,1,57.99,1,268000.0
60,1,52.6,Central,65.58,Others,Science,72.11,Science & Tech,0,57.6,1,56.66,1,265000.0
61,1,74.0,Central,70.0,Central,Science,72.0,Commerce & Management,1,60.0,1,57.24,1,260000.0
62,1,84.2,Central,73.4,Central,Commerce,66.89,Commerce & Management,0,61.6,1,62.48,1,300000.0
63,0,86.5,Others,64.2,Others,Science,67.4,Science & Tech,0,59.0,1,59.69,1,240000.0
64,1,61.0,Others,70.0,Others,Commerce,64.0,Commerce & Management,0,68.5,0,59.5,0,0.0
65,1,80.0,Others,73.0,Others,Commerce,75.0,Commerce & Management,0,61.0,1,58.78,1,240000.0
66,1,54.0,Others,47.0,Others,Science,57.0,Commerce & Management,0,89.69,0,57.1,0,0.0
67,1,83.0,Others,74.0,Others,Science,66.0,Commerce & Management,0,68.92,0,58.46,1,275000.0
68,1,80.92,Others,78.5,Others,Commerce,67.0,Commerce & Management,0,68.71,1,60.99,1,275000.0
69,0,69.7,Central,47.0,Central,Commerce,72.7,Science & Tech,0,79.0,0,59.24,0,0.0
70,1,73.0,Central,73.0,Central,Science,66.0,Science & Tech,1,70.0,1,68.07,1,275000.0
71,1,82.0,Others,61.0,Others,Science,62.0,Science & Tech,0,89.0,1,65.45,1,360000.0
72,1,75.0,Others,70.29,Others,Commerce,71.0,Commerce & Management,0,95.0,1,66.94,1,240000.0
73,1,84.86,Others,67.0,Others,Science,78.0,Commerce & Management,0,95.5,1,68.53,1,240000.0
74,1,64.6,Central,83.83,Others,Commerce,71.72,Commerce & Management,0,86.0,1,59.75,1,218000.0
75,1,56.6,Central,64.8,Central,Commerce,70.2,Commerce & Management,0,84.27,1,67.2,1,336000.0
76,0,59.0,Central,62.0,Others,Commerce,77.5,Commerce & Management,0,74.0,0,67.0,0,0.0
77,0,66.5,Others,70.4,Central,Arts,71.93,Commerce & Management,0,61.0,1,64.27,1,230000.0
78,1,64.0,Others,80.0,Others,Science,65.0,Science & Tech,1,69.0,1,57.65,1,500000.0
79,1,84.0,Others,90.9,Others,Science,64.5,Science & Tech,0,86.04,1,59.42,1,270000.0
80,0,69.0,Central,62.0,Central,Science,66.0,Science & Tech,0,75.0,0,67.99,0,0.0
81,0,69.0,Others,62.0,Others,Commerce,69.0,Commerce & Management,1,67.0,0,62.35,1,240000.0
82,1,81.7,Others,63.0,Others,Science,67.0,Commerce & Management,1,86.0,1,70.2,1,300000.0
83,1,63.0,Central,67.0,Central,Commerce,74.0,Commerce & Management,0,82.0,1,60.44,0,0.0
84,1,84.0,Others,79.0,Others,Science,68.0,Science & Tech,1,84.0,1,66.69,1,300000.0
85,1,70.0,Central,63.0,Others,Science,70.0,Science & Tech,1,55.0,1,62.0,1,300000.0
86,0,83.84,Others,89.83,Others,Commerce,77.2,Commerce & Management,1,78.74,1,76.18,1,400000.0
87,1,62.0,Others,63.0,Others,Commerce,64.0,Commerce & Management,0,67.0,1,57.03,1,220000.0
88,1,59.6,Central,51.0,Central,Science,60.0,Others,0,75.0,0,59.08,0,0.0
89,0,66.0,Central,62.0,Central,Commerce,73.0,Commerce & Management,0,58.0,0,64.36,1,210000.0
90,0,84.0,Others,75.0,Others,Science,69.0,Science & Tech,1,62.0,0,62.36,1,210000.0
91,0,85.0,Others,90.0,Others,Commerce,82.0,Commerce & Management,0,92.0,1,68.03,1,300000.0
92,1,52.0,Central,57.0,Central,Commerce,50.8,Commerce & Management,0,67.0,0,62.79,0,0.0
93,0,60.23,Central,69.0,Central,Science,66.0,Commerce & Management,0,72.0,1,59.47,1,230000.0
94,1,52.0,Central,62.0,Central,Commerce,54.0,Commerce & Management,0,72.0,0,55.41,0,0.0
95,1,58.0,Central,62.0,Central,Commerce,64.0,Commerce & Management,0,53.88,1,54.97,1,260000.0
96,1,73.0,Central,78.0,Others,Commerce,65.0,Commerce & Management,1,95.46,1,62.16,1,420000.0
97,0,76.0,Central,70.0,Central,Science,76.0,Commerce & Management,1,66.0,1,64.44,1,300000.0
98,0,70.5,Central,62.5,Others,Commerce,61.0,Commerce & Management,0,93.91,1,69.03,0,0.0
99,0,69.0,Central,73.0,Central,Commerce,65.0,Commerce & Management,0,70.0,1,57.31,1,220000.0
100,1,54.0,Central,82.0,Others,Commerce,63.0,Science & Tech,0,50.0,1,59.47,0,0.0
101,0,45.0,Others,57.0,Others,Commerce,58.0,Commerce & Management,1,56.39,0,64.95,0,0.0
102,1,63.0,Central,72.0,Central,Commerce,68.0,Commerce & Management,0,78.0,0,60.44,1,380000.0
103,0,77.0,Others,61.0,Others,Commerce,68.0,Commerce & Management,1,57.5,1,61.31,1,300000.0
104,1,73.0,Central,78.0,Central,Science,73.0,Science & Tech,1,85.0,0,65.83,1,240000.0
105,1,69.0,Central,63.0,Others,Science,65.0,Commerce & Management,1,55.0,0,58.23,1,360000.0
106,1,59.0,Central,64.0,Others,Science,58.0,Science & Tech,0,85.0,0,55.3,0,0.0
107,1,61.08,Others,50.0,Others,Science,54.0,Science & Tech,0,71.0,1,65.69,0,0.0
108,1,82.0,Others,90.0,Others,Commerce,83.0,Commerce & Management,0,80.0,0,73.52,1,200000.0
109,1,61.0,Central,82.0,Central,Commerce,69.0,Commerce & Management,0,84.0,1,58.31,1,300000.0
110,1,52.0,Central,63.0,Others,Science,65.0,Science & Tech,1,86.0,0,56.09,0,0.0
111,0,69.5,Central,70.0,Central,Science,72.0,Science & Tech,0,57.2,0,54.8,1,250000.0
112,1,51.0,Others,54.0,Others,Science,61.0,Science & Tech,0,60.0,0,60.64,0,0.0
113,1,58.0,Others,61.0,Others,Commerce,61.0,Commerce & Management,0,58.0,0,53.94,1,250000.0
114,0,73.96,Others,79.0,Others,Commerce,67.0,Commerce & Management,0,72.15,1,63.08,1,280000.0
115,1,65.0,Central,68.0,Others,Science,69.0,Commerce & Management,0,53.7,0,55.01,1,250000.0
116,0,73.0,Others,63.0,Others,Science,66.0,Commerce & Management,0,89.0,1,60.5,1,216000.0
117,1,68.2,Central,72.8,Central,Commerce,66.6,Commerce & Management,1,96.0,1,70.85,1,300000.0
118,1,77.0,Others,75.0,Others,Science,73.0,Science & Tech,0,80.0,1,67.05,1,240000.0
119,1,76.0,Central,80.0,Central,Science,78.0,Science & Tech,1,97.0,0,70.48,1,276000.0
120,1,60.8,Central,68.4,Central,Commerce,64.6,Commerce & Management,1,82.66,1,64.34,1,940000.0
121,1,58.0,Others,40.0,Others,Science,59.0,Commerce & Management,0,73.0,0,58.81,0,0.0
122,0,64.0,Central,67.0,Others,Science,69.6,Science & Tech,1,55.67,0,71.49,1,250000.0
123,0,66.5,Central,66.8,Central,Arts,69.3,Commerce & Management,1,80.4,1,71.0,1,236000.0
124,1,74.0,Others,59.0,Others,Commerce,73.0,Commerce & Management,1,60.0,0,56.7,1,240000.0
125,1,67.0,Central,71.0,Central,Science,64.33,Others,1,64.0,0,61.26,1,250000.0
126,0,84.0,Central,73.0,Central,Commerce,73.0,Commerce & Management,0,75.0,1,73.33,1,350000.0
127,0,79.0,Others,61.0,Others,Science,75.5,Science & Tech,1,70.0,1,68.2,1,210000.0
128,0,72.0,Others,60.0,Others,Science,69.0,Commerce & Management,0,55.5,0,58.4,1,250000.0
129,1,80.4,Central,73.4,Central,Science,77.72,Science & Tech,1,81.2,0,76.26,1,400000.0
130,1,76.7,Central,89.7,Others,Commerce,66.0,Commerce & Management,1,90.0,1,68.55,1,250000.0
131,1,62.0,Central,65.0,Others,Commerce,60.0,Commerce & Management,0,84.0,1,64.15,0,0.0
132,0,74.9,Others,57.0,Others,Science,62.0,Others,1,80.0,1,60.78,1,360000.0
133,1,67.0,Others,68.0,Others,Commerce,64.0,Commerce & Management,1,74.4,0,53.49,1,300000.0
134,1,73.0,Central,64.0,Others,Commerce,77.0,Commerce & Management,1,65.0,0,60.98,1,250000.0
135,0,77.44,Central,92.0,Others,Commerce,72.0,Commerce & Management,1,94.0,1,67.13,1,250000.0
136,0,72.0,Central,56.0,Others,Science,69.0,Commerce & Management,0,55.6,0,65.63,1,200000.0
137,0,47.0,Central,59.0,Central,Arts,64.0,Commerce & Management,0,78.0,1,61.58,0,0.0
138,1,67.0,Others,63.0,Central,Commerce,72.0,Commerce & Management,0,56.0,0,60.41,1,225000.0
139,0,82.0,Others,64.0,Others,Science,73.0,Science & Tech,1,96.0,1,71.77,1,250000.0
140,1,77.0,Central,70.0,Central,Commerce,59.0,Commerce & Management,1,58.0,1,54.43,1,220000.0
141,1,65.0,Central,64.8,Others,Commerce,69.5,Commerce & Management,1,56.0,1,56.94,1,265000.0
142,1,66.0,Central,64.0,Central,Science,60.0,Commerce & Management,0,60.0,0,61.9,0,0.0
143,1,85.0,Central,60.0,Others,Science,73.43,Science & Tech,1,60.0,1,61.29,1,260000.0
144,1,77.67,Others,64.89,Others,Commerce,70.67,Commerce & Management,0,89.0,1,60.39,1,300000.0
145,1,52.0,Others,50.0,Others,Arts,61.0,Commerce & Management,0,60.0,1,58.52,0,0.0
146,1,89.4,Others,65.66,Others,Science,71.25,Science & Tech,0,72.0,0,63.23,1,400000.0
147,1,62.0,Central,63.0,Others,Science,66.0,Commerce & Management,0,85.0,0,55.14,1,233000.0
148,1,70.0,Central,74.0,Central,Commerce,65.0,Commerce & Management,0,83.0,1,62.28,1,300000.0
149,0,77.0,Central,86.0,Central,Arts,56.0,Others,0,57.0,1,64.08,1,240000.0
150,1,44.0,Central,58.0,Central,Arts,55.0,Commerce & Management,1,64.25,0,58.54,0,0.0
151,1,71.0,Central,58.66,Central,Science,58.0,Science & Tech,1,56.0,1,61.3,1,690000.0
152,1,65.0,Central,65.0,Central,Commerce,75.0,Commerce & Management,0,83.0,1,58.87,1,270000.0
153,0,75.4,Others,60.5,Central,Science,84.0,Science & Tech,0,98.0,1,65.25,1,240000.0
154,1,49.0,Others,59.0,Others,Science,65.0,Science & Tech,1,86.0,1,62.48,1,340000.0
155,1,53.0,Central,63.0,Others,Science,60.0,Commerce & Management,1,70.0,1,53.2,1,250000.0
156,1,51.57,Others,74.66,Others,Commerce,59.9,Commerce & Management,1,56.15,0,65.99,0,0.0
157,1,84.2,Central,69.4,Central,Science,65.0,Science & Tech,1,80.0,0,52.72,1,255000.0
158,1,66.5,Central,62.5,Central,Commerce,60.9,Commerce & Management,0,93.4,1,55.03,1,300000.0
159,1,67.0,Others,63.0,Others,Science,64.0,Science & Tech,0,60.0,1,61.87,0,0.0
160,1,52.0,Central,49.0,Others,Commerce,58.0,Commerce & Management,0,62.0,0,60.59,0,0.0
161,1,87.0,Central,74.0,Central,Science,65.0,Science & Tech,1,75.0,0,72.29,1,300000.0
162,1,55.6,Others,51.0,Others,Commerce,57.5,Commerce & Management,0,57.63,0,62.72,0,0.0
163,1,74.2,Central,87.6,Others,Commerce,77.25,Commerce & Management,1,75.2,1,66.06,1,285000.0
164,1,63.0,Others,67.0,Others,Science,64.0,Science & Tech,0,75.0,1,66.46,1,500000.0
165,0,67.16,Central,72.5,Central,Commerce,63.35,Commerce & Management,0,53.04,1,65.52,1,250000.0
166,0,63.3,Central,78.33,Others,Commerce,74.0,Commerce & Management,0,80.0,1,74.56,0,0.0
167,1,62.0,Others,62.0,Others,Commerce,60.0,Commerce & Management,1,63.0,0,52.38,1,240000.0
168,1,67.9,Others,62.0,Others,Science,67.0,Science & Tech,1,58.1,1,75.71,0,0.0
169,0,48.0,Central,51.0,Central,Commerce,58.0,Commerce & Management,1,60.0,0,58.79,0,0.0
170,1,59.96,Others,42.16,Others,Science,61.26,Science & Tech,0,54.48,0,65.48,0,0.0
171,0,63.4,Others,67.2,Others,Commerce,60.0,Commerce & Management,0,58.06,0,69.28,0,0.0
172,1,80.0,Others,80.0,Others,Commerce,72.0,Commerce & Management,1,63.79,1,66.04,1,290000.0
173,1,73.0,Others,58.0,Others,Commerce,56.0,Commerce & Management,0,84.0,0,52.64,1,300000.0
174,0,52.0,Others,52.0,Others,Science,55.0,Science & Tech,0,67.0,0,59.32,0,0.0
175,1,73.24,Others,50.83,Others,Science,64.27,Science & Tech,1,64.0,1,66.23,1,500000.0
176,1,63.0,Others,62.0,Others,Science,65.0,Science & Tech,0,87.5,0,60.69,0,0.0
177,0,59.0,Central,60.0,Others,Commerce,56.0,Commerce & Management,0,55.0,0,57.9,1,220000.0
178,0,73.0,Central,97.0,Others,Commerce,79.0,Commerce & Management,1,89.0,1,70.81,1,650000.0
179,1,68.0,Others,56.0,Others,Science,68.0,Science & Tech,0,73.0,0,68.07,1,350000.0
180,0,77.8,Central,64.0,Central,Science,64.2,Science & Tech,0,75.5,0,72.14,0,0.0
181,1,65.0,Central,71.5,Others,Commerce,62.8,Commerce & Management,1,57.0,1,56.6,1,265000.0
182,1,62.0,Central,60.33,Others,Science,64.21,Science & Tech,0,63.0,0,60.02,0,0.0
183,1,52.0,Others,65.0,Others,Arts,57.0,Others,1,75.0,1,59.81,0,0.0
184,1,65.0,Central,77.0,Central,Commerce,69.0,Commerce & Management,0,60.0,0,61.82,1,276000.0
185,0,56.28,Others,62.83,Others,Commerce,59.79,Commerce & Management,0,60.0,0,57.29,0,0.0
186,0,88.0,Central,72.0,Central,Science,78.0,Others,0,82.0,0,71.43,1,252000.0
187,0,52.0,Central,64.0,Central,Commerce,61.0,Commerce & Management,0,55.0,1,62.93,0,0.0
188,1,78.5,Central,65.5,Central,Science,67.0,Science & Tech,1,95.0,1,64.86,1,280000.0
189,1,61.8,Others,47.0,Others,Commerce,54.38,Commerce & Management,0,57.0,1,56.13,0,0.0
190,0,54.0,Central,77.6,Others,Commerce,69.2,Commerce & Management,0,95.65,1,66.94,0,0.0
191,0,64.0,Others,70.2,Central,Commerce,61.0,Commerce & Management,0,50.0,1,62.5,0,0.0
192,1,67.0,Others,61.0,Central,Science,72.0,Commerce & Management,0,72.0,1,61.01,1,264000.0
193,1,65.2,Central,61.4,Central,Commerce,64.8,Commerce & Management,1,93.4,1,57.34,1,270000.0
194,0,60.0,Central,63.0,Central,Arts,56.0,Others,1,80.0,0,56.63,1,300000.0
195,1,52.0,Others,55.0,Others,Commerce,56.3,Commerce & Management,0,59.0,1,64.74,0,0.0
196,1,66.0,Central,76.0,Central,Commerce,72.0,Commerce & Management,1,84.0,0,58.95,1,275000.0
197,1,72.0,Others,63.0,Others,Science,77.5,Science & Tech,1,78.0,1,54.48,1,250000.0
198,0,83.96,Others,53.0,Others,Science,91.0,Science & Tech,0,59.32,0,69.71,1,260000.0
199,0,67.0,Central,70.0,Central,Commerce,65.0,Others,0,88.0,0,71.96,0,0.0
200,1,69.0,Others,65.0,Others,Commerce,57.0,Commerce & Management,0,73.0,0,55.8,1,265000.0
201,1,69.0,Others,60.0,Others,Commerce,65.0,Commerce & Management,0,87.55,1,52.81,1,300000.0
202,1,54.2,Central,63.0,Others,Science,58.0,Commerce & Management,0,79.0,0,58.44,0,0.0
203,1,70.0,Central,63.0,Central,Science,66.0,Science & Tech,0,61.28,0,60.11,1,240000.0
204,1,55.68,Others,61.33,Others,Commerce,56.87,Commerce & Management,0,66.0,0,58.3,1,260000.0
205,0,74.0,Others,73.0,Others,Commerce,73.0,Commerce & Management,1,80.0,1,67.69,1,210000.0
206,1,61.0,Others,62.0,Others,Commerce,65.0,Commerce & Management,0,62.0,1,56.81,1,250000.0
207,1,41.0,Central,42.0,Central,Science,60.0,Commerce & Management,0,97.0,1,53.39,0,0.0
208,1,83.33,Central,78.0,Others,Commerce,61.0,Commerce & Management,1,88.56,1,71.55,1,300000.0
209,0,43.0,Central,60.0,Others,Science,65.0,Commerce & Management,0,92.66,0,62.92,0,0.0
210,1,62.0,Central,72.0,Central,Commerce,65.0,Commerce & Management,0,67.0,1,56.49,1,216000.0
211,1,80.6,Others,82.0,Others,Commerce,77.6,Commerce & Management,0,91.0,1,74.49,1,400000.0
212,1,58.0,Others,60.0,Others,Science,72.0,Science & Tech,0,74.0,1,53.62,1,275000.0
213,1,67.0,Others,67.0,Others,Commerce,73.0,Commerce & Management,1,59.0,1,69.72,1,295000.0
214,0,74.0,Others,66.0,Others,Commerce,58.0,Commerce & Management,0,70.0,0,60.23,1,204000.0
215,1,62.0,Central,58.0,Others,Science,53.0,Commerce & Management,0,89.0,0,60.22,0,0.0
